c4:b8:22:3a:a4:01 -74.50005,-74.75009,-74.94458,-75.20847,-75.3668,-75.13894 -77 5.271754167318458
c6:f1:d8:de:c7:6d -81,-77.49995,-76.6666,-78.25009,-77.19991,-76.49976 -77 6.79889083951827
c8:fb:3a:d4:b7:cf -91,-91.50005,-91.33331,-92.50072,-92.50057,-92.50047 -77 12.367172125474918
ca:e9:21:e1:30:41 -73,-73,-74.33339,-75.25012,-75.2501,-75.25008 -77 6.502116830061251
d0:58:bb:6b:c5:48 -73,-73.50002,-72.33317,-71.74969,-72.40011,-72.83379 -77 1.763391799191151
cb:87:f2:a7:4a:cd -66.99998,-67.25005,-66.16666,-65.62496,-65.09991,-64.74987 -77 2.6567618887067628
e6:fc:ea:e2:d5:8d -70,-70,-73.00012,-75.00026,-75.80032,-76.33372 -77 7.191246394090638
ef:f7:ba:b0:4e:58 -78,-80.00005,-80.33339,-79.74995,-79.39986,-79.66666 -77 6.1791295817858565
f0:6a:e2:cc:0d:c8 -86,-86,-86.25008,-86.38763,-86.47017,-86.55853 -77 10.696824675726774
f0:c8:b0:2f:c3:6a -74.16674,-75.08338,-74.72224,-74.54167,-74.43333,-74.52779 -77 8.504847450881776
f3:ae:ac:5e:07:79 -76.40034,-77.28381,-76.52251,-76.14185,-79.11392,-81.5955 -77 10.745010844942197
c3:c5:0a:42:ff:15 -82,-82,-79.99968,-79.99976,-79.7997,-79.79975 -77 3.819924570853992
c4:b8:22:3a:a4:01 -76,-76.50001,-76.33333,-76.50002,-76.80008,-77.00014 -77 5.271754167318458
c6:f1:d8:de:c7:6d -77.19991,-76.84983,-78.23328,-77.42488,-76.93983,-76.78315 -77 6.79889083951827
ca:e9:21:e1:30:41 -75.25008,-74.62504,-74.08334,-73.81249,-73.44995,-73.20825 -77 6.502116830061251
cb:87:f2:a7:4a:cd -73,-71.99998,-71.66664,-71.49996,-69.7997,-68.66614 -77 2.6567618887067628
cc:31:e5:51:83:cf -70,-70,-70.33334,-70.25,-71.2001,-71.66682 -77 6.275634207421824
d0:58:bb:6b:c5:48 -72.33317,-72.04141,-72.161,-72.32926,-73.26404,-73.7205 -77 1.763391799191151
e6:fc:ea:e2:d5:8d -77,-74.49998,-73.33328,-74.00001,-74.20003,-73.83329 -77 7.191246394090638
ef:f7:ba:b0:4e:58 -80.33339,-80.04166,-79.82771,-79.78745,-79.62991,-79.69162 -77 6.1791295817858565
f0:c8:b0:2f:c3:6a -77,-76.49999,-74.99995,-74.24992,-74.19994,-74.16661 -77 8.504847450881776
f3:ae:ac:5e:07:79 -81.5955,-85.29783,-81.86499,-82.89889,-83.51926,-84.26632 -77 10.745010844942197
c3:c5:0a:42:ff:15 -81,-77.99987,-77.33315,-79.7506,-80.0006,-79.8337 -77 3.819924570853992
c4:b8:22:3a:a4:01 -77,-77,-76.66665,-76.49997,-76.49998,-76.49998 -77 5.271754167318458
c6:f1:d8:de:c7:6d -76.93983,-76.86149,-78.90781,-79.18091,-80.34505,-80.95448 -77 6.79889083951827
ca:e9:21:e1:30:41 -74,-74.50001,-74.33334,-74.24999,-74.24999,-74.24999 -77 6.502116830061251
cb:87:f2:a7:4a:cd -71.49996,-70.64982,-69.98857,-67.99129,-66.79288,-66.16062 -77 2.6567618887067628
cc:31:e5:51:83:cf -74,-70.99998,-69.99995,-70.75002,-71.40008,-71.83347 -77 6.275634207421824
d0:58:bb:6b:c5:48 -79,-79.50006,-80.00025,-80.50063,-78.99825,-77.82919 -77 1.763391799191151
e6:fc:ea:e2:d5:8d -76,-76,-74.66663,-73.99992,-73.99994,-73.99995 -77 7.191246394090638
ef:f7:ba:b0:4e:58 -84,-84.50002,-82.66647,-81.74965,-81.99982,-81.99985 -77 6.1791295817858565
f0:c8:b0:2f:c3:6a -76.49999,-75.74997,-75.24994,-74.98742,-74.82324,-74.18594 -77 8.504847450881776
f3:ae:ac:5e:07:79 -82.89889,-83.20908,-83.56152,-82.17093,-83.53709,-84.61467 -77 10.745010844942197
c3:c5:0a:42:ff:15 -82,-81.49998,-80.33311,-79.74963,-79.99986,-79.99988 -77 3.819924570853992
c4:b8:22:3a:a4:01 -77,-77,-77.33335,-77.25,-77.19999,-76.99992 -77 5.271754167318458
c6:f1:d8:de:c7:6d -84,-85.00002,-81.99982,-80.24962,-79.99963,-79.99969 -77 6.79889083951827
ca:e9:21:e1:30:41 -72,-72,-72,-72,-72.20002,-72.33337 -77 6.502116830061251
cb:87:f2:a7:4a:cd -71,-71,-68.33324,-69.50002,-67.99982,-66.99965 -77 2.6567618887067628
d0:58:bb:6b:c5:48 -77,-74.99984,-76.66702,-77.2506,-76.39964,-75.66528 -77 1.763391799191151
cc:31:e5:51:83:cf -74,-72.49998,-71.66661,-71.43745,-71.42997,-71.49723 -77 6.275634207421824
ef:f7:ba:b0:4e:58 -82,-79.99996,-78.99991,-78.49986,-78.19981,-79.00014 -77 6.1791295817858565
f0:6a:e2:cc:0d:c8 -85,-84.49998,-85.00004,-85.50012,-85.5001,-85.50008 -77 10.696824675726774
f0:c8:b0:2f:c3:6a -71,-70.5,-71.00001,-71.25002,-71.2,-70.99998 -77 8.504847450881776
f4:6c:81:5c:29:66 -84,-84,-81.33317,-79.74967,-80.19984,-80.49997 -77 7.702635431641899
f3:ae:ac:5e:07:79 -83.53709,-84.07589,-81.0505,-79.53777,-78.43009,-77.69161 -77 10.745010844942197
c3:c5:0a:42:ff:15 -79.99986,-79.99987,-80.33329,-80.24995,-78.99941,-78.49918 -77 3.819924570853992
c4:b8:22:3a:a4:01 -76,-76,-75.66665,-76.25006,-76.60013,-76.66679 -77 5.271754167318458
c6:f1:d8:de:c7:6d -77,-80.00006,-80.00004,-80.5001,-80.2,-79.99992 -77 6.79889083951827
ca:e9:21:e1:30:41 -77,-78.50002,-78.33334,-78.50002,-78.39999,-78.16659 -77 6.502116830061251
cb:87:f2:a7:4a:cd -70,-70,-71.3334,-72.25014,-70.3998,-69.16619 -77 2.6567618887067628
d0:58:bb:6b:c5:48 -76.39964,-76.03233,-78.35747,-79.52081,-80.01862,-80.35087 -77 1.763391799191151
e6:fc:ea:e2:d5:8d -78,-78,-77.66666,-77.49998,-76.19981,-75.49969 -77 7.191246394090638
ef:f7:ba:b0:4e:58 -87,-82.4999,-80.66647,-80.9999,-80.39976,-79.99963 -77 6.1791295817858565
f0:6a:e2:cc:0d:c8 -85.50008,-85.25004,-84.83333,-84.37492,-84.49998,-84.41661 -77 10.696824675726774
