c6:f1:d8:de:c7:6d -68,-70.00003,-70.66672,-71.00007,-71.00005,-71.00005 -77 3.5809907649264847
cb:87:f2:a7:4a:cd -69,-70.00002,-69.66666,-69.24993,-69.24995,-69.24995 -77 2.043812664375631
ef:f7:ba:b0:4e:58 -76,-72.49996,-69.66653,-71.25003,-71.25002,-71.25002 -77 4.080096075523254
f4:6c:81:5c:29:66 -84,-84.50004,-84.66673,-83.99972,-83.99977,-83.99981 -77 5.223746503309518
c3:c5:0a:42:ff:15 -67,-67,-67.33334,-67.50002,-67.60002,-67.66669 -77 6.784027426718149
c4:b8:22:3a:a4:01 -71,-76.00005,-78.00009,-76.49998,-74.59978,-73.33294 -77 6.725677830113117
c6:f1:d8:de:c7:6d -67,-66.49999,-68.66676,-69.50014,-70.20023,-70.66696 -77 3.5809907649264847
ca:e9:21:e1:30:41 -71,-71,-68.99995,-67.74989,-67.19986,-66.83316 -77 3.9498911463181856
cb:87:f2:a7:4a:cd -69.24995,-70.62502,-71.08339,-71.31259,-71.45012,-71.54182 -77 2.043812664375631
cc:31:e5:51:83:cf -74,-72.99998,-75.33344,-76.50021,-76.60018,-76.83355 -77 6.009109651865516
d0:58:bb:6b:c5:48 -67,-71.00004,-72.66675,-73.50012,-72.19994,-71.49982 -77 4.861802118095602
e6:fc:ea:e2:d5:8d -79,-78.49999,-76.33324,-74.99982,-75.79997,-76.33342 -77 7.705927225464507
ef:f7:ba:b0:4e:58 -65,-65,-68.66678,-70.75021,-69.60004,-68.83324 -77 4.080096075523254
f0:6a:e2:cc:0d:c8 -80,-80,-81.6668,-82.2502,-82.00008,-81.83333 -77 7.589017486128221
f0:c8:b0:2f:c3:6a -78,-78.50001,-74.66649,-75.49995,-76.00005,-75.3332 -77 5.19971700756172
f3:ae:ac:5e:07:79 -77,-77,-77,-76.74998,-76.79999,-76.79999 -77 7.853237101212095
f4:6c:81:5c:29:66 -82,-81.49998,-82.33347,-82.25007,-82.20002,-82.83396 -77 5.223746503309518
c3:c5:0a:42:ff:15 -67,-67,-67,-67,-67,-67 -77 6.784027426718149
c4:b8:22:3a:a4:01 -72,-72,-72,-72,-73.80024,-75.16714 -77 6.725677830113117
c6:f1:d8:de:c7:6d -67,-67,-69.00008,-69.75013,-70.20017,-70.50021 -77 3.5809907649264847
c8:fb:3a:d4:b7:cf -92,-92,-92,-90.24927,-89.3988,-88.66487 -77 9.065140737183434
ca:e9:21:e1:30:41 -67.19986,-67.01651,-66.34432,-65.7582,-67.20672,-68.33912 -77 3.9498911463181856
cb:87:f2:a7:4a:cd -72,-72,-72,-71.24985,-71.39993,-71.5 -77 2.043812664375631
cc:31:e5:51:83:cf -79,-79,-76.99991,-75.74981,-74.99973,-75.83331 -77 6.009109651865516
d0:58:bb:6b:c5:48 -75,-74.49999,-75.33338,-76.00012,-76.0001,-76.00008 -77 4.861802118095602
e6:fc:ea:e2:d5:8d -88,-83.49988,-81.66642,-80.74964,-82.80039,-84.50118 -77 7.705927225464507
ef:f7:ba:b0:4e:58 -69.60004,-69.21664,-69.14442,-69.10831,-69.08665,-69.0722 -77 4.080096075523254
f0:6a:e2:cc:0d:c8 -82.00008,-81.9167,-81.27776,-80.95828,-80.36649,-79.97195 -77 7.589017486128221
f0:c8:b0:2f:c3:6a -76.00005,-75.66662,-76.44445,-76.83338,-76.06657,-75.38861 -77 5.19971700756172
f3:ae:ac:5e:07:79 -78,-77.49999,-76.66663,-76.24993,-76.6,-76.83338 -77 7.853237101212095
f4:6c:81:5c:29:66 -82.83396,-81.91694,-81.61125,-82.45869,-82.16681,-81.80539 -77 5.223746503309518
