c8:fb:3a:d4:b7:cf -68,-68,-68.66674,-68.50002,-69.80054,-69.80045 -77 1.4730982833798818
f0:6a:e2:cc:0d:c8 -73,-80.50029,-84.00064,-80.99968,-80.99974,-80.99979 -77 3.004595070418767
f0:c8:b0:2f:c3:6a -88,-88.50033,-89.00132,-88.74983,-88.74986,-88.74989 -77 5.050806873293977
c8:fb:3a:d4:b7:cf -68.50002,-69.1503,-69.36704,-69.52532,-70.62077,-70.51723 -77 1.4730982833798818
f3:ae:ac:5e:07:79 -74,-74,-71.66657,-70.99987,-70.59984,-70.49984 -77 3.825211553898658
c8:fb:3a:d4:b7:cf -70,-70,-69.33327,-68.74984,-68.39976,-68.3998 -77 1.4730982833798818
f0:6a:e2:cc:0d:c8 -72,-71.49999,-71.66667,-71.49998,-71.60001,-71.83342 -77 3.004595070418767
f0:c8:b0:2f:c3:6a -82,-81.49997,-83.66709,-83.50024,-83.5002,-83.50017 -77 5.050806873293977
c8:fb:3a:d4:b7:cf -68.39976,-68.39978,-68.93325,-70.4503,-70.16013,-69.79988 -77 1.4730982833798818
cb:87:f2:a7:4a:cd -90,-90,-89.33324,-88.99982,-88.99986,-88.99989 -77 11.92746729291949
f0:6a:e2:cc:0d:c8 -72,-71.49999,-71.66667,-71.49998,-71.49998,-71.49998 -77 3.004595070418767
f0:c8:b0:2f:c3:6a -83.50024,-83.50022,-83.50021,-83.37509,-83.09983,-84.08453 -77 5.050806873293977
f3:ae:ac:5e:07:79 -74,-74,-73.66665,-72.49987,-71.79978,-71.79982 -77 3.825211553898658
c8:fb:3a:d4:b7:cf -70.4503,-70.30521,-70.13674,-69.60241,-69.68197,-70.56895 -77 1.4730982833798818
f0:6a:e2:cc:0d:c8 -71.66667,-71.58333,-71.55554,-71.54165,-71.83338,-71.69444 -77 3.004595070418767
f3:ae:ac:5e:07:79 -71.79978,-71.7998,-72.53323,-71.39983,-70.9198,-70.43306 -77 3.825211553898658
c8:fb:3a:d4:b7:cf -69.60241,-69.64219,-69.95115,-69.7133,-69.77067,-69.47537 -77 1.4730982833798818
f3:ae:ac:5e:07:79 -72.53323,-71.96653,-71.61761,-71.32144,-71.85724,-71.38091 -77 3.825211553898658
f0:6a:e2:cc:0d:c8 -71,-71.50001,-71.33333,-71.75005,-71.80006,-71.80005 -77 3.004595070418767
c8:fb:3a:d4:b7:cf -70,-70,-68.9999,-68.49982,-68.79996,-69.00008 -77 1.4730982833798818
f0:c8:b0:2f:c3:6a -83,-84.00011,-84.00008,-84.50045,-85.20131,-85.3347 -77 5.050806873293977
f0:6a:e2:cc:0d:c8 -71,-71.25001,-71.27779,-71.39587,-71.47672,-71.53062 -77 3.004595070418767
