cc:31:e5:51:83:cf -81,-83.00014,-83.3335,-84.75081,-84.75065,-84.75054 -77 5.512477833429697
c3:c5:0a:42:ff:15 -73,-72.5,-72.33333,-72.24999,-71.79996,-71.49993 -77 9.558838690439744
c4:b8:22:3a:a4:01 -79,-78.49999,-79.33337,-79.25002,-78.99997,-78.99998 -77 7.9250463952259995
c6:f1:d8:de:c7:6d -80,-80.50002,-78.33311,-77.24958,-77.79988,-78.16679 -77 3.8914231465706832
c8:fb:3a:d4:b7:cf -91,-91,-89.66463,-89.74874,-89.74899,-89.74916 -77 5.763124145556261
ca:e9:21:e1:30:41 -95,-92.49993,-92.66663,-87.499,-84.39819,-84.3985 -77 1.1034026592412622
cb:87:f2:a7:4a:cd -79,-80.00002,-80.33336,-80.25001,-78.59969,-77.49941 -77 6.076495346773638
cc:31:e5:51:83:cf -84.75065,-84.7506,-83.50023,-82.62492,-82.29978,-82.08299 -77 5.512477833429697
e6:fc:ea:e2:d5:8d -83,-79.49989,-81.00008,-82.50037,-83.20055,-83.66739 -77 7.588628870441506
ef:f7:ba:b0:4e:58 -91,-82.99988,-80.33312,-78.9997,-78.19962,-78.19968 -77 6.523432817850212
f0:6a:e2:cc:0d:c8 -79,-79.50002,-78.99994,-78.74988,-78.79993,-78.8333 -77 3.7141763048336935
f3:ae:ac:5e:07:79 -73,-73,-72.66665,-72.24993,-73.60025,-74.33379 -77 3.788213399555367
f4:6c:81:5c:29:66 -80,-79.49995,-80.00012,-80.00009,-77.39721,-77.39767 -77 1.6620440677319606
c3:c5:0a:42:ff:15 -69,-68.5,-68.33333,-68.5,-68.80002,-68.83335 -77 9.558838690439744
c4:b8:22:3a:a4:01 -81,-80.49999,-79.66662,-79.24992,-79.39996,-79.33328 -77 7.9250463952259995
ca:e9:21:e1:30:41 -84.39819,-84.39835,-80.26412,-77.94639,-77.95712,-76.62839 -77 1.1034026592412622
c6:f1:d8:de:c7:6d -74,-74.50001,-74.33333,-74.24998,-76.40057,-76.16705 -77 3.8914231465706832
cb:87:f2:a7:4a:cd -81,-80.49999,-77.9999,-75.99976,-74.79964,-74.79971 -77 6.076495346773638
cc:31:e5:51:83:cf -83,-81.99995,-81.66659,-82.75029,-83.40059,-82.83334 -77 5.512477833429697
d0:58:bb:6b:c5:48 -71,-71,-70.66666,-70.75,-70.75,-70.75 -77 8.060259272645231
f0:6a:e2:cc:0d:c8 -78,-78,-78,-78.25008,-78.20004,-79.3343 -77 3.7141763048336935
e6:fc:ea:e2:d5:8d -83,-81.2499,-81.16662,-81.50011,-81.84031,-82.14497 -77 7.588628870441506
f3:ae:ac:5e:07:79 -78,-75.49995,-74.33324,-73.99989,-73.99991,-73.66648 -77 3.788213399555367
f0:c8:b0:2f:c3:6a -69,-74.00014,-76.00029,-76.75037,-75.19975,-74.16591 -77 2.410942642803011
f4:6c:81:5c:29:66 -66,-73.50072,-75.66784,-76.75161,-77.40204,-77.66884 -77 1.6620440677319606
c3:c5:0a:42:ff:15 -68.33333,-68.41666,-68.54445,-68.61668,-68.69334,-68.24442 -77 9.558838690439744
c4:b8:22:3a:a4:01 -77,-76.49999,-77.00002,-77.00001,-77.00001,-76.83331 -77 7.9250463952259995
c6:f1:d8:de:c7:6d -85,-82.4998,-83.66685,-84.25047,-83.19936,-82.49844 -77 3.8914231465706832
